940,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
830,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
940,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
830,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
880,iPad Air2,香港行货（香港购买，全球联保）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1300,iPad Air2,香港行货（香港购买，全球联保）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1340,iPad Air2,香港行货（香港购买，全球联保）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
880,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1300,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1340,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
940,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
830,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
940,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
830,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
880,iPad Air2,香港行货（香港购买，全球联保）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1300,iPad Air2,香港行货（香港购买，全球联保）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1330,iPad Air2,香港行货（香港购买，全球联保）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
880,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1300,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1340,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,黑色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
940,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
830,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
940,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
830,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
880,iPad Air2,香港行货（香港购买，全球联保）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1300,iPad Air2,香港行货（香港购买，全球联保）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1330,iPad Air2,香港行货（香港购买，全球联保）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
880,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1330,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1340,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,保修期剩余一个月以上,很少使用，完美无任何痕迹,金色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
860,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1190,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,大陆国行（有“进网许可”标签）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
860,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1280,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1340,iPad Air2,大陆国行（有“进网许可”标签）,WIFI+3G,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
830,iPad Air2,香港行货（香港购买，全球联保）,WIFI,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1180,iPad Air2,香港行货（香港购买，全球联保）,WIFI,64G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
1310,iPad Air2,香港行货（香港购买，全球联保）,WIFI,128G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
860,iPad Air2,香港行货（香港购买，全球联保）,WIFI+3G,16G,很少使用，显示完美几乎全新,无维修情况,很少使用，完美无任何痕迹,过保/保修期不足一个月,很少使用，完美无任何痕迹,白色,苹果iCloud账户可退出,正常开机进入桌面,充电正常,HOME按键正常,正常连接电脑,正常恢复出厂设置
